contact_id,event_topic,event_format,event_price,booked
C0001,Supply Chain,Congress,650,0
C0001,SAP S/4HANA,Seminar,1100,0
C0001,HR Management,Seminar,790,0
C0001,SAP S/4HANA,Seminar,1490,0
C0001,SAP S/4HANA,Workshop,790,0
C0001,Logistics,E-Learning,299,1
C0002,Project Management,Congress,990,0
C0002,Leadership,Workshop,490,0
C0002,IT & Digitalisation,E-Learning,299,0
C0002,SAP S/4HANA,Seminar,1100,1
C0002,SAP S/4HANA,E-Learning,990,0
C0002,Leadership,Seminar,790,0
C0002,Leadership,Congress,490,0
C0002,Finance,Workshop,990,0
C0002,IT & Digitalisation,E-Learning,790,1
C0002,Leadership,Congress,1490,0
C0003,Finance,Congress,990,1
C0003,Supply Chain,Seminar,990,1
C0003,Finance,Seminar,790,0
C0003,Supply Chain,Workshop,1100,0
C0003,Project Management,E-Learning,650,1
C0004,Logistics,Workshop,1100,0
C0004,Supply Chain,Congress,1490,0
C0004,Leadership,Seminar,490,0
C0004,Project Management,Workshop,490,0
C0004,Marketing,Workshop,1490,0
C0004,SAP S/4HANA,Seminar,490,0
C0004,IT & Digitalisation,Seminar,890,1
C0004,Project Management,Workshop,299,0
C0004,SAP S/4HANA,Congress,1490,0
C0004,Finance,Congress,650,1
C0004,Project Management,Seminar,990,0
C0005,Finance,Congress,299,0
C0005,Logistics,Seminar,490,0
C0005,Leadership,Congress,650,1
C0005,SAP S/4HANA,Congress,890,0
C0005,Supply Chain,Congress,890,0
C0005,IT & Digitalisation,Workshop,1490,0
C0005,Leadership,Congress,790,0
C0005,IT & Digitalisation,Seminar,1490,0
C0005,Logistics,Congress,299,0
C0005,HR Management,Congress,490,0
C0005,IT & Digitalisation,Seminar,1490,0
C0006,SAP S/4HANA,Congress,1290,0
C0006,Legal & Compliance,Workshop,790,0
C0006,Leadership,Workshop,990,0
C0007,Leadership,Seminar,1100,1
C0007,Leadership,Congress,790,0
C0007,SAP S/4HANA,Workshop,650,0
C0007,Project Management,E-Learning,1290,0
C0007,Leadership,Workshop,1490,0
C0008,Leadership,Congress,650,0
C0008,Legal & Compliance,Workshop,790,0
C0008,HR Management,Congress,1100,0
C0008,Marketing,E-Learning,1290,0
C0008,Marketing,Workshop,650,0
C0008,Finance,Congress,299,0
C0008,IT & Digitalisation,Seminar,299,0
C0009,HR Management,Seminar,650,0
C0009,Logistics,Seminar,790,0
C0009,Leadership,Congress,299,0
C0009,Marketing,E-Learning,890,0
C0009,IT & Digitalisation,Congress,890,1
C0009,Project Management,E-Learning,1290,0
C0009,Leadership,Seminar,1290,0
C0009,Leadership,Congress,1490,0
C0010,Supply Chain,E-Learning,890,1
C0010,Legal & Compliance,E-Learning,1490,0
C0010,SAP S/4HANA,E-Learning,490,0
C0010,Finance,Seminar,490,0
C0010,Finance,E-Learning,790,0
C0010,Supply Chain,E-Learning,1490,0
C0010,Finance,Seminar,490,0
C0011,IT & Digitalisation,Congress,890,0
C0011,Legal & Compliance,Workshop,1490,0
C0011,Leadership,Seminar,650,0
C0011,IT & Digitalisation,Congress,1100,1
C0011,HR Management,E-Learning,990,0
C0011,IT & Digitalisation,Congress,790,0
C0011,IT & Digitalisation,Workshop,650,0
C0011,Project Management,Congress,1100,0
C0011,Project Management,E-Learning,1100,0
C0011,Finance,Congress,490,0
C0011,HR Management,Workshop,790,1
C0012,Supply Chain,Congress,299,0
C0012,Marketing,E-Learning,890,0
C0013,SAP S/4HANA,E-Learning,299,1
C0013,Finance,Congress,890,0
C0013,Leadership,Workshop,990,1
C0013,Marketing,Seminar,1100,0
C0013,Finance,Seminar,1100,0
C0013,SAP S/4HANA,Congress,990,0
C0015,Marketing,E-Learning,1100,0
C0015,SAP S/4HANA,Congress,790,0
C0015,Marketing,Congress,890,0
C0016,Finance,Congress,1100,0
C0016,Legal & Compliance,Workshop,1290,0
